inv_ID,quantity,type,uhs_SKU, $ ,count,,price per,total value,sell value,,,
0001,3,transponder,K-H72, $3.47 ,1,, $3.47 , $10.41 ,80,,Total Keys:,116
0002,1,fobik,RK-FBK-RAM-3, $7.99 ,1,, $7.99 , $7.99 ,120,,UHS Value:," $1,547.48 "
0003,1,smart,RSK-JP-1302-5, $19.99 ,1,, $19.99 , $19.99 ,160,,When Sold:," $8,580.00 "
0004,1,smart,RFK-GM-CRZ4, $15.99 ,1,, $15.99 , $15.99 ,160,,Profit Margin:,82%
0005,1,smart,RSK-NIS-ROG20, $19.80 ,1,, $19.80 , $19.80 ,160,,Profit:," $7,032.52 "
0006,1,smart,RSK-NIS-ROG18, $17.87 ,1,, $17.87 , $17.87 ,160,,,
0007,2,smart,RSK-CHY-1302-5, $17.99 ,1,, $17.99 , $35.98 ,160,,,
0008,1,remote,RO-GM-LHJ, $6.44 ,1,, $6.44 , $6.44 ,60,,,
0009,1,smart,RSK-NIS-4106, $19.99 ,1,, $19.99 , $19.99 ,160,,,
0010,1,smart,RSK-NIS-7B10, $21.59 ,1,, $21.59 , $21.59 ,160,,,
0011,1,smart,RSK-NIS-G744-5, $22.41 ,1,, $22.41 , $22.41 ,160,,,
0012,2,smart,RSK-NIS-014A, $16.99 ,1,, $16.99 , $33.98 ,160,,,
0013,2,smart,RSK-NIS-1315-5, $21.59 ,1,, $21.59 , $43.18 ,160,,,
0014,1,smart,RSK-NIS-ALT20, $20.61 ,1,, $20.61 , $20.61 ,160,,,
0015,1,smart,RSK-NIS-XN45, $26.91 ,1,, $26.91 , $26.91 ,160,,,
0016,1,smart,RK-NIS-903, $12.65 ,1,, $12.65 , $12.65 ,160,,,
0017,1,smart,RSK-GM-4EA-5BH, $44.10 ,1,, $44.10 , $44.10 ,160,,,
0018,1,smart,RSK-GM-4EA-5, $26.09 ,1,, $26.09 , $26.09 ,160,,,
0019,1,smart,RSK-ULK173, $49.00 ,1,, $49.00 , $49.00 ,160,,,
0020,1,flip,RFK-GM-PRX5, $12.99 ,1,, $12.99 , $12.99 ,120,,,
0021,4,flip,RK-GM-FP5, $7.98 ,1,, $7.98 , $31.92 ,120,,,
0022,2,flip,RFK-FD-RA04, $67.98 ,2,, $33.99 , $67.98 ,120,,,
0023,1,flip,RFK-KIA-FT04, $26.96 ,1,, $26.96 , $26.96 ,120,,,
0024,1,flip,RFK-KIA-022, $19.76 ,1,, $19.76 , $19.76 ,120,,,
0025,1,flip,RFK-KIA066, $78.99 ,2,, $39.50 , $39.50 ,120,,,
0026,1,flip,RFK-KIA-SO19, $24.26 ,1,, $24.26 , $24.26 ,120,,,
0027,1,flip,RFK-KIA-OPT4, $29.66 ,1,, $29.66 , $29.66 ,120,,,
0028,1,flip,RFK-KIA-022, $19.76 ,1,, $19.76 , $19.76 ,120,,,
0029,1,flip,RFK-HY-SNFE4, $12.59 ,1,, $12.59 , $12.59 ,120,,,
0030,1,flip,RFK-HY-SON17, $25.20 ,1,, $25.20 , $25.20 ,120,,,
